en_type_abbr,en_type,en_cui,en,en_zh
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0006746,Caldesmon,卡尔德蒙
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0006772,Calmodulin,钙调蛋白
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0006786,Calpain II,钙蛋白酶ii
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0006825,Canavanine,卡那万
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0007292,Carrier Proteins,载体蛋白
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0007578,Cell Adhesion Molecules,细胞粘附分子
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0007640,Cellular Retinol Binding Protein,细胞视黄醇结合蛋白
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0007810,Cerebrospinal Fluid Proteins,脑脊液蛋白
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0008905,Clathrin,网格蛋白
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0009331,Collagen Type II,ii型胶原蛋白
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0009332,Collagen Type III,iii型胶原蛋白
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0009333,Collagen Type IV,iv型胶原蛋白
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0009392,Colony-Stimulating Factors,集落刺激因子
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0009629,Conalbumin,白蛋白
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0009630,Concanavalin A,伴刀豆球蛋白a
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0010286,Creatine,肌酸
aapp;bacs;gngm,"Amino Acid, Peptide, or Protein;Biologically Active Substance;Gene or Genome",C0010640,Cystathionine,胱硫醚
